Team,Conference,Division,Latitude,Longitude,City,State,Stadium,LogoURL
Buffalo Bills,AFC,East,42.774,-78.787,Orchard Park,New York,Highmark Stadium,https://static.www.nfl.com/t_headshot_desktop_2x/f_auto/league/api/clubs/logos/BUF
Miami Dolphins,AFC,East,25.958056,-80.238889,Miami Gardens,Florida,Hard Rock Stadium,https://static.www.nfl.com/t_headshot_desktop_2x/f_auto/league/api/clubs/logos/MIA
New England Patriots,AFC,East,42.091,-71.264,Foxborough,Massachusetts,Gillette Stadium,https://static.www.nfl.com/t_headshot_desktop_2x/f_auto/league/api/clubs/logos/NE
New York Jets,AFC,East,40.813528,-74.074361,East Rutherford,New Jersey,MetLife Stadium,https://static.www.nfl.com/t_headshot_desktop_2x/f_auto/league/api/clubs/logos/NYJ
Baltimore Ravens,AFC,North,39.278056,-76.622778,Baltimore,Maryland,M&T Bank Stadium,https://static.www.nfl.com/t_headshot_desktop_2x/f_auto/league/api/clubs/logos/BAL
Cincinnati Bengals,AFC,North,39.095,-84.516,Cincinnati,Ohio,Paycor Stadium,https://static.www.nfl.com/t_headshot_desktop_2x/f_auto/league/api/clubs/logos/CIN
Cleveland Browns,AFC,North,41.506111,-81.699444,Cleveland,Ohio,Huntington Bank Field,https://static.www.nfl.com/t_headshot_desktop_2x/f_auto/league/api/clubs/logos/CLE
Pittsburgh Steelers,AFC,North,40.446667,-80.015833,Pittsburgh,Pennsylvania,Acrisure Stadium,https://static.www.nfl.com/t_headshot_desktop_2x/f_auto/league/api/clubs/logos/PIT
Houston Texans,AFC,South,29.684722,-95.410833,Houston,Texas,NRG Stadium,https://static.www.nfl.com/t_headshot_desktop_2x/f_auto/league/api/clubs/logos/HOU
Indianapolis Colts,AFC,South,39.760056,-86.163806,Indianapolis,Indiana,Lucas Oil Stadium,https://static.www.nfl.com/t_headshot_desktop_2x/f_auto/league/api/clubs/logos/IND
